nombre_sede,cod_ies,cod_sede
CASA CENTRAL (SANTIAGO),3,1
CASA CENTRAL (SANTIAGO),70,2
CASA CENTRAL (SANTIAGO),71,3
CASA CENTRAL,86,4
SEDE VILLARRICA,86,5
CAMPUS ORIENTE,86,6
SEDE LO CONTADOR,86,7
CAMPUS SAN JOAQUIN,86,8
CASA CENTRAL,87,9
SEDE CHILLAN,87,10
SEDE LOS ANGELES,87,11
CAMPUS CASA CENTRAL VALPARAISO,88,12
SEDE VIÃ‘A DEL MAR - JOSE MIGUEL CARRERA,88,13
SEDE CONCEPCION - REY BALDUINO DE BELGICA,88,14
CAMPUS SANTIAGO VITACURA,88,15
SEDE RANCAGUA,88,16
CAMPUS SANTIAGO SAN JOAQUIN,88,17
CASA CENTRAL (VALPARAISO),88,18
SEDE SANTIAGO ORIENTE,88,19
SEDE SANTIAGO CENTRO SUR,88,20
